age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,Private,Some-college,Divorced,Craft-repair,Own-child,White,Male,0,0,57,United-States,<=50K
48,Local-gov,Prof-school,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,1,0,50,India,<=50K
47,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,2958,1,39,United-States,>50K
65,Private,7th-8th,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,1,0,19,United-States,<=50K
44,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,49,United-States,>50K
48,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,1791,39,United-States,<=50K
53,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,6,0,5,United-States,<=50K
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Female,1,0,61,United-States,>50K
66,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,United-States,<=50K
62,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,3,0,31,United-States,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,14911,0,44,United-States,>50K
53,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,39,United-States,<=50K
48,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2116,40,United-States,>50K
39,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,1963,40,United-States,>50K
26,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,4,1895,36,India,<=50K
36,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,19,United-States,<=50K
35,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,2,0,55,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,1,0,32,United-States,>50K
29,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,31,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
47,Private,7th-8th,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,1876,40,United-States,<=50K
37,Local-gov,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,6,0,20,United-States,<=50K
