age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,Private,5th-6th,Separated,Other-service,Unmarried,White,Female,0,0,31,United-States,<=50K
38,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,<=50K
36,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1966,40,United-States,<=50K
52,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5,0,34,United-States,>50K
41,Private,HS-grad,Divorced,Machine-op-inspct,Other-relative,Black,Male,1,0,39,United-States,<=50K
52,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
61,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,44,United-States,>50K
22,Private,Bachelors,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,1771,35,United-States,<=50K
36,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,2,0,40,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,5,0,49,United-States,>50K
41,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,<=50K
34,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0,35,United-States,<=50K
46,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,<=50K
47,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2108,39,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,39,United-States,<=50K
51,Private,7th-8th,Divorced,Machine-op-inspct,Not-in-family,Black,Male,1,0,37,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,35,United-States,<=50K
63,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,34,United-States,<=50K
39,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,2,0,38,United-States,<=50K
52,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Female,2,0,27,United-States,<=50K
57,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,1,1899,29,United-States,<=50K
37,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,3557,0,49,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,21,0,49,United-States,>50K
