age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
61,Self-emp-not-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,3841,0,67,United-States,>50K
29,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,59,United-States,<=50K
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,59,United-States,<=50K
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,56,United-States,<=50K
42,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,3,0,59,United-States,<=50K
33,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,0,0,37,Mexico,<=50K
70,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,39,United-States,<=50K
58,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,<=50K
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,54,United-States,<=50K
41,Local-gov,Masters,Separated,Adm-clerical,Not-in-family,White,Female,2,0,44,United-States,<=50K
55,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,3,0,39,United-States,<=50K
41,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,47,United-States,<=50K
56,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,2,0,30,United-States,<=50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,61,United-States,>50K
32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-States,>50K
29,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,30,United-States,<=50K
34,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,1,0,50,United-States,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,2,0,12,United-States,<=50K
37,Local-gov,HS-grad,Divorced,Transport-moving,Not-in-family,Black,Male,5,0,60,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,1,0,19,United-States,<=50K
44,Private,HS-grad,Divorced,Other-service,Unmarried,Black,Female,3240,0,40,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,54,United-States,<=50K
40,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
59,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,2038,39,United-States,>50K
19,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,1,0,16,United-States,<=50K
39,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,3557,0,39,United-States,>50K
52,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,United-States,<=50K
48,Self-emp-not-inc,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,3,0,40,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,7403,0,59,United-States,>50K
47,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,99875,0,50,United-States,>50K
30,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,1690,37,United-States,<=50K
32,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,1771,40,United-States,<=50K
25,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,0,0,10,United-States,<=50K
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,39,United-States,<=50K
58,Private,HS-grad,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,60,United-States,<=50K
47,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,3332,0,44,United-States,>50K
54,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,61,United-States,<=50K
